Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"Columbia , South Carolina",46822,173400,162700,1%,910,597,4.8%,8%,$73,$73, $	112.00 , $	147.51 , $	167.65 ,$91.00, $	116.83 ,$91.00,2.21%,2.35%,0.15%,0.52%
"Orlando , Florida",111674,217800,226100,-0%,1139,817,3.8%,8%,$87,$87, $	186.50 , $	303.92 , $	193.99 ,$113.90, $	297.92 ,$113.90,1.40%,1.35%,-0.05%,0.52%
"Little Rock , Arkansas",81369,162800,152100,1%,850,572,4.5%,14%,$122,$122, $	127.92 , $	297.31 , $	160.38 ,$85.00, $	171.92 ,$85.00,0.43%,0.46%,0.03%,0.52%
"Newport News , Virginia",69324,193100,204800,-1%,1008,736,3.6%,10%,$96,$96, $	182.75 , $	59.12 , $	179.18 ,$100.80, $	79.92 ,$100.80,2.43%,2.29%,-0.14%,0.52%
"Springdale , Arkansas",26168,146400,148800,-0%,762,529,4.1%,3%,$20,$30, $	95.67 , $	267.36 , $	149.38 ,$76.20, $	171.92 ,$76.20,1.17%,1.15%,-0.02%,0.52%
"Miramar , Florida",39759,279900,303400,-1%,1454,1251,1.7%,8%,$109,$109, $	284.92 , $	390.58 , $	227.35 ,$145.40, $	297.92 ,$145.40,1.27%,1.17%,-0.10%,0.52%
"Las Cruces , New Mexico",39934,150200,159500,-1%,779,559,3.8%,7%,$58,$58, $	107.83 , $	93.64 , $	151.54 ,$77.90, $	99.75 ,$77.90,2.32%,2.19%,-0.14%,0.52%
"Hesperia , California",26492,219600,268900,-2%,1138,869,3.0%,2%,$27,$46, $	137.50 , $	31.68 , $	193.88 ,$113.80, $	66.08 ,$113.80,3.36%,2.75%,-0.62%,0.52%
"Norfolk , Virginia",88155,199400,212800,-1%,1031,713,4.2%,6%,$65,$65, $	184.33 , $	61.05 , $	181.82 ,$103.10, $	79.92 ,$103.10,2.62%,2.46%,-0.17%,0.52%
"Chattanooga , Tennessee",72842,160100,133000,2%,827,531,5.0%,9%,$77,$77, $	152.50 , $	150.89 , $	157.55 ,$82.70, $	126.75 ,$82.70,1.55%,1.86%,0.32%,0.52%
"Plantation , Florida",33610,308800,318700,-0%,1595,1155,3.7%,10%,$156,$156, $	274.92 , $	430.90 , $	241.45 ,$159.50, $	297.92 ,$159.50,1.29%,1.25%,-0.04%,0.52%
"Tallahassee , Florida",75508,193100,196900,-0%,995,688,4.2%,7%,$68,$68, $	171.58 , $	269.45 , $	177.67 ,$99.50, $	297.92 ,$99.50,1.30%,1.27%,-0.03%,0.52%
"Greenville , North Carolina",36865,155100,148300,0%,799,515,5.0%,8%,$60,$60, $	139.25 , $	62.60 , $	154.06 ,$79.90, $	64.42 ,$79.90,2.35%,2.45%,0.11%,0.52%
"Athens-Clarke County unified government (balance), Georgia",46708,164100,161100,0%,844,587,4.1%,6%,$48,$48, $	144.00 , $	120.07 , $	159.64 ,$84.40, $	91.92 ,$84.40,2.10%,2.14%,0.04%,0.51%
"West Palm Beach , Florida",41691,237400,243400,-0%,1220,889,3.6%,8%,$93,$93, $	240.00 , $	331.27 , $	202.84 ,$122.00, $	297.92 ,$122.00,1.17%,1.14%,-0.03%,0.51%
"Glen Burnie, Maryland",26768,248900,282400,-1%,1279,902,4.0%,9%,$115,$115, $	194.00 , $	57.15 , $	209.17 ,$127.90, $	72.17 ,$127.90,2.78%,2.45%,-0.33%,0.51%
"Ogden , Utah",30477,152100,134600,1%,777,563,3.6%,5%,$40,$40, $	107.75 , $	32.92 , $	151.29 ,$77.70, $	53.50 ,$77.70,2.90%,3.28%,0.38%,0.51%
"St. Cloud , Minnesota",26264,149200,165000,-1%,762,608,2.5%,4%,$27,$30, $	128.83 , $	108.78 , $	149.38 ,$76.20, $	111.08 ,$76.20,2.16%,1.95%,-0.21%,0.51%
"Lincoln , Nebraska",112124,161200,143500,1%,822,569,4.2%,4%,$32,$33, $	246.75 , $	234.29 , $	156.93 ,$82.20, $	131.92 ,$82.20,0.51%,0.58%,0.06%,0.51%
"Frederick , Maryland",27180,265500,301000,-1%,1351,961,3.9%,4%,$47,$54, $	338.83 , $	60.96 , $	216.75 ,$135.10, $	72.17 ,$135.10,2.46%,2.17%,-0.29%,0.51%
"Germantown, Maryland",30935,336500,357900,-1%,1712,1234,3.7%,5%,$89,$89, $	261.75 , $	77.27 , $	252.82 ,$171.20, $	72.17 ,$171.20,3.07%,2.88%,-0.18%,0.51%
"Duluth , Minnesota",36039,157100,155800,0%,799,624,2.8%,4%,$28,$32, $	152.67 , $	114.54 , $	154.06 ,$79.90, $	111.08 ,$79.90,2.03%,2.05%,0.02%,0.51%
"Allen , Texas",32518,286300,192300,5%,1456,930,5.1%,3%,$41,$58, $	525.42 , $	338.66 , $	227.55 ,$145.60, $	162.08 ,$145.60,0.67%,1.00%,0.33%,0.51%
